species	chrom	avg_slope_loglog
Eaethiops	scaffold_7	-0.6486463085014039
Eaethiops	scaffold_8	-0.6554521237690012
Eaethiops	scaffold_9	-0.5327081789434316
Ealbergana	scaffold_1	-1.2052774648885065
Ealbergana	scaffold_10	-0.9786838434517326
Ealbergana	scaffold_11	-0.9937218811476365
Ealbergana	scaffold_12	-1.0340913619195704
Ealbergana	scaffold_13	-0.9793404951664948
Ealbergana	scaffold_14	-0.834389704407925
Ealbergana	scaffold_15	-0.7036305165762653
Ealbergana	scaffold_16	-0.8506272519874628
Ealbergana	scaffold_18	-1.5591324311881711
Ealbergana	scaffold_2	-1.2838137679647288
Ealbergana	scaffold_3	-1.161795214461113
Ealbergana	scaffold_4	-1.2955130177918917
Ealbergana	scaffold_5	-1.2099329769144895
Ealbergana	scaffold_6	-1.1114944823825184
Ealbergana	scaffold_7	-1.213442232628954
Ealbergana	scaffold_8	-1.266296058547691
Ealbergana	scaffold_9	-1.1331766529593172
Ebubastis	scaffold_1	-0.6323041444273433
Ebubastis	scaffold_10	-0.4943090358885958
Ebubastis	scaffold_11	-0.47653240833542915
Ebubastis	scaffold_12	-0.4630585319151355
Ebubastis	scaffold_13	-0.43371662222500934
Ebubastis	scaffold_14	-0.4751884014465073
Ebubastis	scaffold_15	-0.5333862970561803
Ebubastis	scaffold_16	-0.3898653386409911
Ebubastis	scaffold_17	-0.3905031624712214
Ebubastis	scaffold_18	-0.32744735847062667
Ebubastis	scaffold_19	-0.45476676306110075
Ebubastis	scaffold_2	-0.5380016401841773
Ebubastis	scaffold_20	-0.41460305275316967
Ebubastis	scaffold_21	-0.3348669941302383
Ebubastis	scaffold_22	-0.3642248958385856
Ebubastis	scaffold_23	-0.45687009704557924
Ebubastis	scaffold_24	-0.2224814564288887
Ebubastis	scaffold_25	-0.15645408376897943
Ebubastis	scaffold_26	0.015529041005655398
Ebubastis	scaffold_27	-0.2724099965142405
Ebubastis	scaffold_28	-0.14150007619291957
Ebubastis	scaffold_3	-0.6046754735795605
Ebubastis	scaffold_30	-0.5900789625445804
Ebubastis	scaffold_4	-0.5952805857661635
Ebubastis	scaffold_5	-0.5958037177937427
Ebubastis	scaffold_6	-0.5816906845211816
Ebubastis	scaffold_7	-0.4994748320065593
Ebubastis	scaffold_8	-0.5746712570330184
Ebubastis	scaffold_9	-0.4731431140899964
Echristi	scaffold_1	-0.8339531333275934
Echristi	scaffold_10	-0.7642226757484921
Echristi	scaffold_11	-0.7162911614076383
Echristi	scaffold_12	-0.7870010149618648
Echristi	scaffold_13	-0.6072447319530682
Echristi	scaffold_14	-0.6146800748650525
Echristi	scaffold_15	-0.5330463915502199
Echristi	scaffold_16	-0.6513357087558641
Echristi	scaffold_17	-0.523820211696992
Echristi	scaffold_18	-0.5885991316774429
Echristi	scaffold_19	-0.403209194199656
Echristi	scaffold_2	-0.7697712508076927
Echristi	scaffold_20	-0.8025552654887204
Echristi	scaffold_3	-0.7851350008791704
Echristi	scaffold_4	-0.7863101594699252
Echristi	scaffold_5	-0.7203665976660338
Echristi	scaffold_6	-0.8079887773258861
Echristi	scaffold_7	-0.7999174261468376
Echristi	scaffold_8	-0.7284678677613238
Echristi	scaffold_9	-0.8066262390923502
Edisa	scaffold_1	-0.6219694509256264
Edisa	scaffold_10	-0.5734365442764149
Edisa	scaffold_11	-0.5313749876314889
Edisa	scaffold_12	-0.5919144452567889
